id,Cluster
1938,313.0
1972,313.0
1996,313.0
53,314.0
193,314.0
233,314.0
283,314.0
308,314.0
362,314.0
378,314.0
395,314.0
432,314.0
442,314.0
453,314.0
493,314.0
509,314.0
515,314.0
520,314.0
522,314.0
527,314.0
529,314.0
601,314.0
632,314.0
779,314.0
800,314.0
829,314.0
869,314.0
880,314.0
946,314.0
947,314.0
966,314.0
971,314.0
986,314.0
1034,314.0
1055,314.0
1065,314.0
1120,314.0
1131,314.0
1143,314.0
1147,314.0
1164,314.0
1248,314.0
1258,314.0
1304,314.0
1341,314.0
1352,314.0
1401,314.0
1427,314.0
1461,314.0
1575,314.0
1582,314.0
1607,314.0
1621,314.0
1695,314.0
1712,314.0
1719,314.0
1729,314.0
1797,314.0
1817,314.0
1836,314.0
1849,314.0
1860,314.0
1861,314.0
1877,314.0
1901,314.0
1949,314.0
1970,314.0
173,315.0
469,315.0
607,315.0
689,315.0
859,315.0
1114,315.0
1301,315.0
1440,315.0
1491,315.0
1992,315.0
227,316.0
3347,316.0
621,317.0
1361,317.0
3285,317.0
3286,317.0
965,318.0
3339,318.0
998,319.0
3456,319.0
1149,320.0
3472,320.0
1185,321.0
3474,321.0
1315,322.0
1882,322.0
3367,322.0
3368,322.0
5,251.0
6,251.0
16,251.0
34,251.0
44,251.0
55,251.0
80,251.0
102,251.0
105,251.0
136,251.0
178,251.0
191,251.0
207,251.0
209,251.0
238,251.0
240,251.0
256,251.0
288,251.0
293,251.0
303,251.0
321,251.0
344,251.0
399,251.0
410,251.0
459,251.0
463,251.0
468,251.0
489,251.0
526,251.0
549,251.0
553,251.0
572,251.0
587,251.0
627,251.0
647,251.0
649,251.0
658,251.0
679,251.0
684,251.0
727,251.0
745,251.0
769,251.0
781,251.0
789,251.0
817,251.0
822,251.0
860,251.0
896,251.0
929,251.0
959,251.0
973,251.0
988,251.0
1011,251.0
1051,251.0
1082,251.0
1099,251.0
1101,251.0
1133,251.0
1157,251.0
1159,251.0
1177,251.0
1192,251.0
1193,251.0
1240,251.0
1247,251.0
1271,251.0
1302,251.0
1303,251.0
1322,251.0
1327,251.0
1374,251.0
1380,251.0
1399,251.0
1414,251.0
1423,251.0
1431,251.0
1437,251.0
1448,251.0
1456,251.0
1469,251.0
1541,251.0
1549,251.0
1553,251.0
1589,251.0
1595,251.0
1613,251.0
1654,251.0
1741,251.0
1820,251.0
1847,251.0
1868,251.0
1876,251.0
1893,251.0
1939,251.0
273,323.0
1641,323.0
3355,323.0
3356,323.0
618,324.0
1559,324.0
3336,324.0
3337,324.0
1802,325.0
3338,325.0
9,252.0
58,252.0
75,252.0
158,252.0
210,252.0
221,252.0
285,252.0
564,252.0
724,252.0
783,252.0
810,252.0
889,252.0
922,252.0
1129,252.0
1244,252.0
1370,252.0
1381,252.0
1482,252.0
1523,252.0
1681,252.0
1713,252.0
1732,252.0
1833,252.0
1873,252.0
1879,252.0
20,326.0
129,326.0
357,326.0
501,326.0
750,326.0
756,326.0
771,326.0
828,326.0
955,326.0
1039,326.0
1204,326.0
1228,326.0
1314,326.0
1360,326.0
1383,326.0
1409,326.0
1449,326.0
1567,326.0
1624,326.0
1694,326.0
1750,326.0
1886,326.0
22,327.0
60,327.0
217,327.0
220,327.0
391,327.0
419,327.0
428,327.0
434,327.0
485,327.0
517,327.0
569,327.0
656,327.0
777,327.0
950,327.0
1128,327.0
1162,327.0
1201,327.0
1226,327.0
1354,327.0
1363,327.0
1382,327.0
1391,327.0
1394,327.0
1421,327.0
1483,327.0
1522,327.0
1554,327.0
1562,327.0
1588,327.0
1594,327.0
1601,327.0
1612,327.0
1679,327.0
1688,327.0
1716,327.0
1801,327.0
1804,327.0
1984,327.0
1986,327.0
36,328.0
131,328.0
162,328.0
170,328.0
213,328.0
279,328.0
289,328.0
342,328.0
411,328.0
437,328.0
583,328.0
662,328.0
835,328.0
842,328.0
847,328.0
853,328.0
962,328.0
969,328.0
1068,328.0
1074,328.0
1180,328.0
1208,328.0
1233,328.0
1272,328.0
1355,328.0
1392,328.0
1480,328.0
